Seed,Policy,Estimated Path
111,random_walk,"((5, 6), 'S');((5, 6), 'N');((4, 6), 'N');((4, 6), 'N');((2, 5), 'N');((4, 5), 'N');((4, 7), 'N');((3, 6), 'N');((5, 6), 'N');((7, 6), 'N');((5, 6), 'N');((3, 6), 'N');((4, 7), 'N');((1, 7), 'N');((2, 9), 'N');((5, 6), 'N');((2, 6), 'N');((2, 8), 'N');((3, 7), 'N');((0, 7), 'N');((2, 8), 'N');((2, 8), 'N');((1, 9), 'N');((2, 8), 'N');((2, 6), 'N');((1, 6), 'N');((3, 7), 'N');((0, 7), 'N');((0, 8), 'N');((0, 6), 'N');((1, 5), 'N');((1, 8), 'N');((2, 8), 'N');((2, 7), 'N');((1, 7), 'N');((2, 7), 'N');((2, 6), 'N');((0, 7), 'N');((0, 8), 'N');((0, 6), 'N');((0, 7), 'N');((2, 6), 'N');((2, 4), 'N');((2, 6), 'N');((1, 4), 'N');((0, 7), 'N');((0, 4), 'N');((0, 7), 'N');((0, 5), 'N');((0, 4), 'N')"
111,straight_until_obstacle,"((6, 5), 'E');((7, 5), 'E');((6, 5), 'E');((7, 5), 'E');((8, 5), 'E');((9, 5), 'E');((7, 5), 'W');((6, 5), 'W');((5, 5), 'W');((4, 5), 'W');((0, 5), 'E');((1, 5), 'E');((2, 5), 'E');((0, 4), 'S');((0, 5), 'S');((0, 4), 'E');((1, 4), 'E');((0, 0), 'E');((1, 0), 'E');((0, 0), 'S');((0, 1), 'S');((4, 0), 'S');((4, 1), 'S');((3, 0), 'E');((4, 0), 'E');((5, 0), 'E');((6, 0), 'E');((7, 0), 'E');((8, 0), 'E');((9, 0), 'E');((9, 3), 'N');((9, 2), 'N');((9, 1), 'N');((7, 4), 'N');((9, 4), 'S');((9, 5), 'S');((9, 6), 'S');((9, 7), 'S');((9, 8), 'S');((9, 9), 'S');((8, 9), 'E');((9, 9), 'E');((9, 7), 'N');((9, 6), 'N');((9, 5), 'N');((9, 4), 'N');((9, 3), 'N');((9, 2), 'N');((9, 1), 'N');((9, 0), 'N')"
222,random_walk,"((6, 5), 'E');((6, 7), 'N');((5, 8), 'N');((5, 7), 'N');((5, 5), 'N');((5, 5), 'N');((7, 5), 'N');((4, 4), 'N');((6, 5), 'N');((3, 3), 'N');((2, 3), 'N');((4, 2), 'N');((3, 2), 'N');((2, 3), 'N');((1, 1), 'N');((2, 0), 'N');((2, 1), 'N');((1, 1), 'N');((2, 1), 'N');((4, 1), 'N');((4, 5), 'N');((1, 4), 'N');((1, 2), 'N');((4, 3), 'N');((3, 1), 'N');((3, 3), 'N');((1, 3), 'N');((2, 2), 'N');((2, 3), 'N');((1, 3), 'N');((3, 1), 'N');((1, 1), 'N');((0, 1), 'N');((3, 4), 'N');((4, 3), 'N');((5, 2), 'N');((6, 2), 'N');((8, 5), 'N');((9, 5), 'N');((8, 4), 'N');((8, 3), 'N');((9, 4), 'N');((9, 4), 'N');((9, 3), 'N');((9, 4), 'N');((9, 6), 'N');((9, 4), 'N');((9, 5), 'N');((9, 5), 'N');((9, 5), 'N')"
222,straight_until_obstacle,"((5, 4), 'N');((5, 3), 'N');((3, 0), 'E');((4, 0), 'E');((5, 0), 'E');((6, 0), 'E');((7, 0), 'E');((8, 0), 'E');((9, 0), 'E');((9, 3), 'N');((9, 2), 'N');((9, 3), 'S');((9, 4), 'S');((9, 5), 'S');((8, 4), 'N');((9, 7), 'S');((9, 8), 'S');((7, 8), 'N');((9, 9), 'W');((8, 9), 'W');((7, 9), 'W');((6, 9), 'W');((5, 9), 'W');((4, 9), 'W');((3, 9), 'W');((2, 9), 'W');((1, 9), 'W');((0, 9), 'N');((0, 8), 'N');((1, 9), 'W');((0, 9), 'W');((1, 7), 'N');((1, 6), 'N');((1, 5), 'N');((1, 4), 'N');((0, 4), 'N');((0, 3), 'N');((0, 2), 'N');((0, 1), 'N');((0, 0), 'N');((1, 0), 'S');((1, 1), 'S');((0, 5), 'N');((0, 4), 'N');((0, 6), 'N');((0, 5), 'N');((0, 8), 'N');((0, 7), 'N');((1, 8), 'W');((0, 8), 'W')"
333,random_walk,"((5, 6), 'S');((6, 6), 'N');((6, 6), 'N');((4, 4), 'N');((5, 5), 'N');((5, 8), 'N');((4, 9), 'N');((4, 8), 'N');((5, 8), 'N');((7, 9), 'N');((4, 9), 'N');((4, 8), 'N');((5, 8), 'N');((7, 9), 'N');((6, 7), 'N');((7, 9), 'N');((3, 8), 'N');((3, 8), 'N');((2, 9), 'N');((1, 8), 'N');((1, 8), 'N');((0, 9), 'N');((1, 9), 'N');((3, 7), 'N');((2, 9), 'N');((3, 8), 'N');((3, 9), 'N');((3, 9), 'N');((2, 6), 'N');((4, 9), 'N');((2, 7), 'N');((3, 4), 'N');((4, 5), 'N');((5, 6), 'N');((4, 3), 'N');((3, 3), 'N');((4, 6), 'N');((4, 7), 'N');((4, 5), 'N');((6, 5), 'N');((4, 5), 'N');((6, 6), 'N');((2, 5), 'N');((4, 6), 'N');((2, 9), 'N');((2, 7), 'N');((1, 9), 'N');((1, 6), 'N');((1, 8), 'N');((0, 7), 'N')"
333,straight_until_obstacle,"((6, 5), 'E');((9, 4), 'N');((9, 6), 'N');((9, 5), 'N');((9, 4), 'N');((9, 3), 'N');((9, 2), 'N');((9, 1), 'N');((9, 0), 'N');((8, 0), 'E');((9, 0), 'E');((9, 1), 'N');((9, 0), 'N');((9, 4), 'W');((8, 4), 'W');((7, 4), 'W');((9, 7), 'W');((8, 7), 'W');((9, 7), 'S');((9, 8), 'S');((9, 9), 'S');((8, 9), 'W');((7, 9), 'W');((6, 9), 'W');((5, 9), 'W');((5, 8), 'E');((6, 8), 'E');((2, 9), 'W');((1, 9), 'W');((0, 9), 'N');((0, 8), 'N');((0, 7), 'N');((0, 6), 'N');((0, 5), 'N');((0, 4), 'N');((0, 3), 'N');((0, 2), 'N');((0, 1), 'N');((0, 0), 'N');((1, 0), 'E');((2, 0), 'E');((3, 0), 'E');((4, 0), 'E');((5, 0), 'E');((6, 0), 'E');((7, 0), 'E');((9, 0), 'S');((9, 1), 'S');((9, 0), 'S');((9, 1), 'S')"
444,random_walk,"((5, 6), 'S');((6, 6), 'N');((4, 5), 'N');((3, 5), 'N');((4, 7), 'N');((5, 7), 'N');((0, 7), 'N');((3, 8), 'N');((2, 9), 'N');((2, 7), 'N');((1, 9), 'N');((3, 8), 'N');((2, 9), 'N');((1, 7), 'N');((0, 7), 'N');((1, 5), 'N');((1, 4), 'N');((2, 3), 'N');((1, 6), 'N');((0, 6), 'N');((2, 5), 'N');((3, 5), 'N');((1, 6), 'N');((2, 6), 'N');((1, 5), 'N');((1, 5), 'N');((2, 7), 'N');((4, 7), 'N');((3, 8), 'N');((1, 7), 'N');((1, 8), 'N');((0, 8), 'N');((0, 8), 'N');((0, 9), 'N');((1, 9), 'N');((0, 8), 'N');((1, 9), 'N');((2, 7), 'N');((0, 9), 'N');((1, 9), 'N');((0, 7), 'N');((1, 9), 'N');((1, 7), 'N');((1, 9), 'N');((0, 9), 'N');((0, 8), 'N');((2, 8), 'N');((3, 9), 'N');((4, 8), 'N');((6, 8), 'N')"
444,straight_until_obstacle,"((6, 5), 'E');((7, 5), 'E');((8, 5), 'E');((9, 5), 'E');((7, 5), 'W');((6, 5), 'W');((5, 5), 'W');((4, 5), 'W');((3, 5), 'W');((2, 5), 'W');((1, 5), 'W');((0, 6), 'N');((0, 5), 'N');((0, 4), 'N');((0, 3), 'N');((0, 2), 'N');((0, 1), 'N');((0, 0), 'N');((0, 2), 'E');((1, 2), 'E');((0, 1), 'N');((0, 4), 'S');((0, 5), 'S');((0, 6), 'S');((0, 7), 'S');((0, 8), 'S');((0, 9), 'S');((1, 9), 'W');((0, 9), 'W');((1, 7), 'N');((1, 6), 'N');((0, 3), 'S');((0, 4), 'S');((0, 1), 'N');((0, 0), 'N');((0, 1), 'E');((1, 1), 'E');((0, 0), 'E');((1, 0), 'E');((2, 0), 'E');((3, 0), 'E');((4, 0), 'E');((5, 0), 'E');((6, 0), 'E');((7, 0), 'E');((9, 2), 'N');((9, 1), 'N');((9, 0), 'N');((7, 0), 'E');((8, 0), 'E')"
555,random_walk,"((5, 6), 'S');((5, 6), 'N');((7, 6), 'N');((6, 7), 'N');((8, 5), 'N');((9, 8), 'N');((7, 5), 'N');((8, 7), 'N');((9, 6), 'N');((8, 5), 'N');((7, 6), 'N');((6, 5), 'N');((8, 7), 'N');((7, 4), 'N');((6, 5), 'N');((6, 4), 'N');((7, 3), 'N');((8, 3), 'N');((6, 2), 'N');((5, 2), 'N');((5, 0), 'N');((5, 3), 'N');((6, 4), 'N');((5, 3), 'N');((5, 2), 'N');((6, 1), 'N');((6, 3), 'N');((6, 2), 'N');((6, 4), 'N');((8, 5), 'N');((7, 6), 'N');((7, 5), 'N');((9, 6), 'N');((8, 5), 'N');((9, 6), 'N');((9, 4), 'N');((8, 4), 'N');((8, 5), 'N');((9, 6), 'N');((9, 7), 'N');((7, 8), 'N');((8, 8), 'N');((8, 7), 'N');((9, 6), 'N');((9, 9), 'N');((9, 7), 'N');((7, 7), 'N');((9, 8), 'N');((9, 6), 'N');((9, 9), 'N')"
555,straight_until_obstacle,"((5, 6), 'S');((5, 9), 'N');((5, 8), 'N');((5, 7), 'N');((5, 9), 'W');((4, 9), 'W');((3, 9), 'W');((2, 9), 'W');((0, 9), 'N');((0, 8), 'N');((1, 7), 'E');((2, 7), 'E');((0, 5), 'N');((0, 4), 'N');((0, 3), 'N');((0, 2), 'N');((0, 1), 'N');((0, 0), 'N');((0, 1), 'N');((0, 0), 'N');((1, 0), 'S');((1, 1), 'S');((2, 0), 'W');((1, 0), 'W');((0, 0), 'W');((4, 0), 'E');((5, 0), 'E');((6, 0), 'E');((7, 0), 'E');((8, 0), 'E');((9, 0), 'E');((9, 1), 'S');((9, 2), 'S');((9, 3), 'S');((9, 4), 'S');((9, 5), 'S');((9, 6), 'S');((9, 7), 'N');((9, 6), 'N');((8, 9), 'N');((8, 8), 'N');((9, 9), 'N');((9, 8), 'N');((9, 7), 'N');((9, 6), 'N');((9, 5), 'N');((9, 4), 'N');((9, 3), 'N');((9, 2), 'N');((9, 1), 'N')"
